Species,Block,Street,Trap,Latitude,Longitude,AddressAccuracy,month,day,Lat_int,Long_int,Tmax_x,Tmin_x,Tavg_x,Depart_x,DewPoint_x,WetBulb_x,Heat_x,Cool_x,Sunrise_x,Sunset_x,Depth_x,SnowFall_x,PrecipTotal_x,StnPressure_x,SeaLevel_x,ResultSpeed_x,ResultDir_x,AvgSpeed_x,Tmax_y,Tmin_y,Tavg_y,DewPoint_y,WetBulb_y,Heat_y,Cool_y,PrecipTotal_y,StnPressure_y,SeaLevel_y,ResultSpeed_y,ResultDir_y,AvgSpeed_y,WnvPresent
2,41,36,1,41.95469,-87.800991,9,05,29,41,-87,88,60,74,10,58,65,0, 9,0421,1917,0,0.0,0.00,29.39,30.11,5.8,18,6.5,88,65,77,59,66,0,12,0.00,29.44,30.09,5.8,16,7.4,0
3,41,36,1,41.95469,-87.800991,9,05,29,41,-87,88,60,74,10,58,65,0, 9,0421,1917,0,0.0,0.00,29.39,30.11,5.8,18,6.5,88,65,77,59,66,0,12,0.00,29.44,30.09,5.8,16,7.4,0
3,62,30,8,41.994991,-87.769279,9,05,29,41,-87,88,60,74,10,58,65,0, 9,0421,1917,0,0.0,0.00,29.39,30.11,5.8,18,6.5,88,65,77,59,66,0,12,0.00,29.44,30.09,5.8,16,7.4,0
2,79,120,15,41.974089,-87.824812,8,05,29,41,-87,88,60,74,10,58,65,0, 9,0421,1917,0,0.0,0.00,29.39,30.11,5.8,18,6.5,88,65,77,59,66,0,12,0.00,29.44,30.09,5.8,16,7.4,0
3,79,120,15,41.974089,-87.824812,8,05,29,41,-87,88,60,74,10,58,65,0, 9,0421,1917,0,0.0,0.00,29.39,30.11,5.8,18,6.5,88,65,77,59,66,0,12,0.00,29.44,30.09,5.8,16,7.4,0
3,15,138,34,41.9216,-87.666455,8,05,29,41,-87,88,60,74,10,58,65,0, 9,0421,1917,0,0.0,0.00,29.39,30.11,5.8,18,6.5,88,65,77,59,66,0,12,0.00,29.44,30.09,5.8,16,7.4,0
3,25,123,35,41.891118,-87.65449100000001,8,05,29,41,-87,88,60,74,10,58,65,0, 9,0421,1917,0,0.0,0.00,29.39,30.11,5.8,18,6.5,88,65,77,59,66,0,12,0.00,29.44,30.09,5.8,16,7.4,0
2,11,134,37,41.867108,-87.654224,8,05,29,41,-87,88,60,74,10,58,65,0, 9,0421,1917,0,0.0,0.00,29.39,30.11,5.8,18,6.5,88,65,77,59,66,0,12,0.00,29.44,30.09,5.8,16,7.4,0
3,11,134,37,41.867108,-87.654224,8,05,29,41,-87,88,60,74,10,58,65,0, 9,0421,1917,0,0.0,0.00,29.39,30.11,5.8,18,6.5,88,65,77,59,66,0,12,0.00,29.44,30.09,5.8,16,7.4,0
3,11,117,38,41.896282,-87.655232,8,05,29,41,-87,88,60,74,10,58,65,0, 9,0421,1917,0,0.0,0.00,29.39,30.11,5.8,18,6.5,88,65,77,59,66,0,12,0.00,29.44,30.09,5.8,16,7.4,0
2,21,45,39,41.919343,-87.694259,8,05,29,41,-87,88,60,74,10,58,65,0, 9,0421,1917,0,0.0,0.00,29.39,30.11,5.8,18,6.5,88,65,77,59,66,0,12,0.00,29.44,30.09,5.8,16,7.4,0
2,22,18,41,41.921965,-87.632085,8,05,29,41,-87,88,60,74,10,58,65,0, 9,0421,1917,0,0.0,0.00,29.39,30.11,5.8,18,6.5,88,65,77,59,66,0,12,0.00,29.44,30.09,5.8,16,7.4,0
3,22,18,41,41.921965,-87.632085,8,05,29,41,-87,88,60,74,10,58,65,0, 9,0421,1917,0,0.0,0.00,29.39,30.11,5.8,18,6.5,88,65,77,59,66,0,12,0.00,29.44,30.09,5.8,16,7.4,0
2,22,95,68,41.688324,-87.676709,8,05,29,41,-87,88,60,74,10,58,65,0, 9,0421,1917,0,0.0,0.00,29.39,30.11,5.8,18,6.5,88,65,77,59,66,0,12,0.00,29.44,30.09,5.8,16,7.4,0
3,22,95,68,41.688324,-87.676709,8,05,29,41,-87,88,60,74,10,58,65,0, 9,0421,1917,0,0.0,0.00,29.39,30.11,5.8,18,6.5,88,65,77,59,66,0,12,0.00,29.44,30.09,5.8,16,7.4,0
3,11,81,75,41.862292,-87.64886,8,05,29,41,-87,88,60,74,10,58,65,0, 9,0421,1917,0,0.0,0.00,29.39,30.11,5.8,18,6.5,88,65,77,59,66,0,12,0.00,29.44,30.09,5.8,16,7.4,0
3,17,112,77,41.720848,-87.666014,9,05,29,41,-87,88,60,74,10,58,65,0, 9,0421,1917,0,0.0,0.00,29.39,30.11,5.8,18,6.5,88,65,77,59,66,0,12,0.00,29.44,30.09,5.8,16,7.4,0
3,22,111,80,41.731922,-87.677512,8,05,29,41,-87,88,60,74,10,58,65,0, 9,0421,1917,0,0.0,0.00,29.39,30.11,5.8,18,6.5,88,65,77,59,66,0,12,0.00,29.44,30.09,5.8,16,7.4,0
1,22,111,80,41.731922,-87.677512,8,05,29,41,-87,88,60,74,10,58,65,0, 9,0421,1917,0,0.0,0.00,29.39,30.11,5.8,18,6.5,88,65,77,59,66,0,12,0.00,29.44,30.09,5.8,16,7.4,0
2,53,46,91,41.891126,-87.61156,5,05,29,41,-87,88,60,74,10,58,65,0, 9,0421,1917,0,0.0,0.00,29.39,30.11,5.8,18,6.5,88,65,77,59,66,0,12,0.00,29.44,30.09,5.8,16,7.4,0
3,53,46,91,41.891126,-87.61156,5,05,29,41,-87,88,60,74,10,58,65,0, 9,0421,1917,0,0.0,0.00,29.39,30.11,5.8,18,6.5,88,65,77,59,66,0,12,0.00,29.44,30.09,5.8,16,7.4,0
2,65,36,96,41.999128999999996,-87.795585,8,05,29,41,-87,88,60,74,10,58,65,0, 9,0421,1917,0,0.0,0.00,29.39,30.11,5.8,18,6.5,88,65,77,59,66,0,12,0.00,29.44,30.09,5.8,16,7.4,0
2,75,37,101,42.01743,-87.68776899999999,8,05,29,42,-87,88,60,74,10,58,65,0, 9,0421,1917,0,0.0,0.00,29.39,30.11,5.8,18,6.5,88,65,77,59,66,0,12,0.00,29.44,30.09,5.8,16,7.4,0
3,15,29,106,41.907645,-87.760886,8,05,29,41,-87,88,60,74,10,58,65,0, 9,0421,1917,0,0.0,0.00,29.39,30.11,5.8,18,6.5,88,65,77,59,66,0,12,0.00,29.44,30.09,5.8,16,7.4,0
3,89,57,112,41.732984,-87.649642,8,05,29,41,-87,88,60,74,10,58,65,0, 9,0421,1917,0,0.0,0.00,29.39,30.11,5.8,18,6.5,88,65,77,59,66,0,12,0.00,29.44,30.09,5.8,16,7.4,0
2,41,36,1,41.95469,-87.800991,9,06,05,41,-87,64,47,56,-9,48,51,9, 0,0417,1923,0,0.0,0.42,29.10,29.79,5.2,5,7.6,63,51,57,47,52,8, 0,0.27,29.16,29.78,6.2,3,8.1,0
3,41,36,1,41.95469,-87.800991,9,06,05,41,-87,64,47,56,-9,48,51,9, 0,0417,1923,0,0.0,0.42,29.10,29.79,5.2,5,7.6,63,51,57,47,52,8, 0,0.27,29.16,29.78,6.2,3,8.1,0
1,41,36,1,41.95469,-87.800991,9,06,05,41,-87,64,47,56,-9,48,51,9, 0,0417,1923,0,0.0,0.42,29.10,29.79,5.2,5,7.6,63,51,57,47,52,8, 0,0.27,29.16,29.78,6.2,3,8.1,0
2,79,120,15,41.974089,-87.824812,8,06,05,41,-87,64,47,56,-9,48,51,9, 0,0417,1923,0,0.0,0.42,29.10,29.79,5.2,5,7.6,63,51,57,47,52,8, 0,0.27,29.16,29.78,6.2,3,8.1,0
3,79,120,15,41.974089,-87.824812,8,06,05,41,-87,64,47,56,-9,48,51,9, 0,0417,1923,0,0.0,0.42,29.10,29.79,5.2,5,7.6,63,51,57,47,52,8, 0,0.27,29.16,29.78,6.2,3,8.1,0
2,15,138,34,41.9216,-87.666455,8,06,05,41,-87,64,47,56,-9,48,51,9, 0,0417,1923,0,0.0,0.42,29.10,29.79,5.2,5,7.6,63,51,57,47,52,8, 0,0.27,29.16,29.78,6.2,3,8.1,0
3,15,138,34,41.9216,-87.666455,8,06,05,41,-87,64,47,56,-9,48,51,9, 0,0417,1923,0,0.0,0.42,29.10,29.79,5.2,5,7.6,63,51,57,47,52,8, 0,0.27,29.16,29.78,6.2,3,8.1,0
