Station,Date,Tmax,Tmin,Tavg,Depart,DewPoint,WetBulb,Heat,Cool,Sunrise,Sunset,CodeSum,Depth,SnowFall,PrecipTotal,StnPressure,SeaLevel,ResultSpeed,ResultDir,AvgSpeed,Year,Month,Tavg_week,precip_week,heat_dw,cool_dw,3_week_avrgPrecipTotal,5_week_avrgPrecipTotal,3_week_avrgTavg,5_week_avrgTavg
1,2007-05-01,83,50,67.0,14.0,51,56.0,0, 2,448.0,1849.0, ,0.0,0.0,0.0,29.1,29.82,1.7,27,9.2,2007,5,59.4285714286,0.00214285714286,0.0,12.1714285714,0.0,0.0,67.0,67.0
2,2007-05-01,84,52,68.0,1.95448369565,51,57.0,0, 3,480.64673913,1847.34782609, ,0.0,0.000108695652174,0.0,29.18,29.82,2.7,25,9.6,2007,5,60.8333333333,0.000714285714286,0.0,10.7666666667,0.0,0.0,68.0,68.0
1,2007-05-02,59,42,51.0,-3.0,42,47.0,14, 0,447.0,1850.0,BR,0.0,0.0,0.0,29.38,30.09,13.0,4,13.4,2007,5,59.4285714286,0.00214285714286,0.0,12.1714285714,0.0,0.0,59.0,59.0
2,2007-05-02,60,43,52.0,1.95448369565,42,47.0,13, 0,480.64673913,1847.34782609,BR HZ,0.0,0.000108695652174,0.0,29.44,30.08,13.3,2,13.4,2007,5,60.8333333333,0.000714285714286,0.0,10.7666666667,0.0,0.0,60.0,60.0
1,2007-05-03,66,46,56.0,2.0,40,48.0,9, 0,446.0,1851.0, ,0.0,0.0,0.0,29.39,30.12,11.7,7,11.9,2007,5,59.4285714286,0.00214285714286,0.0,12.1714285714,0.0,0.0,58.0,58.0
2,2007-05-03,67,48,58.0,1.95448369565,40,50.0,7, 0,480.64673913,1847.34782609,HZ,0.0,0.000108695652174,0.0,29.46,30.12,12.9,6,13.2,2007,5,60.8333333333,0.000714285714286,0.0,10.7666666667,0.0,0.0,59.3333333333,59.3333333333
1,2007-05-04,66,49,58.0,4.0,41,50.0,7, 0,444.0,1852.0,RA,0.0,0.0,0.005,29.31,30.05,10.4,8,10.8,2007,5,59.4285714286,0.00214285714286,0.0,12.1714285714,0.00125,0.00125,58.0,58.0
2,2007-05-04,78,51,,1.95448369565,42,50.0,,,480.64673913,1847.34782609, ,0.0,0.000108695652174,0.0,29.36,30.04,10.1,7,10.4,2007,5,60.8333333333,0.000714285714286,0.0,10.7666666667,0.0,0.0,59.3333333333,59.3333333333
1,2007-05-05,66,53,60.0,5.0,38,49.0,5, 0,443.0,1853.0, ,0.0,0.0,0.005,29.4,30.10,11.7,7,12.0,2007,5,59.4285714286,0.00214285714286,0.0,12.1714285714,0.002,0.002,58.4,58.4
2,2007-05-05,66,54,60.0,1.95448369565,39,50.0,5, 0,480.64673913,1847.34782609, ,0.0,0.000108695652174,0.005,29.46,30.09,11.2,7,11.5,2007,5,60.8333333333,0.000714285714286,0.0,10.7666666667,0.001,0.001,59.5,59.5
1,2007-05-06,68,49,59.0,4.0,30,46.0,6, 0,442.0,1855.0, ,0.0,0.0,0.0,29.57,30.29,14.4,11,15.0,2007,5,59.4285714286,0.00214285714286,0.0,12.1714285714,0.00166666666667,0.00166666666667,58.5,58.5
2,2007-05-06,68,52,60.0,1.95448369565,30,46.0,5, 0,480.64673913,1847.34782609, ,0.0,0.000108695652174,0.0,29.62,30.28,13.8,10,14.5,2007,5,60.8333333333,0.000714285714286,0.0,10.7666666667,0.000833333333333,0.000833333333333,59.6,59.6
1,2007-05-07,83,47,65.0,10.0,41,54.0,0, 0,441.0,1856.0,RA,0.0,0.0,0.005,29.38,30.12,8.6,18,10.5,2007,5,59.4285714286,0.00214285714286,0.0,12.1714285714,0.00214285714286,0.00214285714286,59.4285714286,59.4285714286
2,2007-05-07,84,50,67.0,1.95448369565,39,53.0,0, 2,480.64673913,1847.34782609, ,0.0,0.000108695652174,0.0,29.44,30.12,8.5,17,9.9,2007,5,60.8333333333,0.000714285714286,0.0,10.7666666667,0.000714285714286,0.000714285714286,60.8333333333,60.8333333333
1,2007-05-08,82,54,68.0,12.0,58,62.0,0, 3,439.0,1857.0,BR,0.0,0.0,0.0,29.29,30.03,2.7,11,5.8,2007,5,64.5714285714,0.0185714285714,0.0,7.02857142857,0.001875,0.001875,60.5,60.5
2,2007-05-08,80,60,70.0,1.95448369565,57,63.0,0, 5,480.64673913,1847.34782609,HZ,0.0,0.000108695652174,0.005,29.36,30.02,2.5,8,5.4,2007,5,65.2857142857,0.00357142857143,0.0,6.31428571429,0.00125,0.00125,62.1428571429,62.1428571429
1,2007-05-09,77,61,69.0,13.0,59,63.0,0, 4,438.0,1858.0,BR HZ,0.0,0.0,0.13,29.21,29.94,3.9,9,6.2,2007,5,64.5714285714,0.0185714285714,0.0,7.02857142857,0.0161111111111,0.0161111111111,61.4444444444,61.4444444444
2,2007-05-09,76,63,70.0,1.95448369565,60,63.0,0, 5,480.64673913,1847.34782609,BR HZ,0.0,0.000108695652174,0.02,29.28,29.93,3.9,7,5.9,2007,5,65.2857142857,0.00357142857143,0.0,6.31428571429,0.00333333333333,0.00333333333333,63.125,63.125
1,2007-05-10,84,56,70.0,14.0,52,60.0,0, 5,437.0,1859.0,BR,0.0,0.0,0.0,29.2,29.92,0.7,17,4.1,2007,5,64.5714285714,0.0185714285714,0.0,7.02857142857,0.0145,0.0145,62.3,62.3
2,2007-05-10,83,59,71.0,1.95448369565,52,61.0,0, 6,480.64673913,1847.34782609,BR HZ,0.0,0.000108695652174,0.0,29.26,29.91,2.0,9,3.9,2007,5,65.2857142857,0.00357142857143,0.0,6.31428571429,0.003,0.003,64.0,64.0
1,2007-05-11,70,51,61.0,4.0,42,51.0,4, 0,436.0,1860.0, ,0.0,0.0,0.0,29.33,30.04,11.3,3,12.9,2007,5,64.5714285714,0.0185714285714,0.0,7.02857142857,0.0131818181818,0.0131818181818,62.1818181818,62.1818181818
2,2007-05-11,73,49,61.0,1.95448369565,44,51.0,4, 0,480.64673913,1847.34782609, ,0.0,0.000108695652174,0.0,29.39,30.03,11.7,36,12.8,2007,5,65.2857142857,0.00357142857143,0.0,6.31428571429,0.00272727272727,0.00272727272727,63.7,63.7
1,2007-05-12,64,46,55.0,-2.0,36,46.0,10, 0,435.0,1901.0, ,0.0,0.0,0.0,29.49,30.20,12.4,3,12.9,2007,5,64.5714285714,0.0185714285714,0.0,7.02857142857,0.0120833333333,0.0120833333333,61.5833333333,61.5833333333
2,2007-05-12,65,47,56.0,1.95448369565,37,46.0,9, 0,480.64673913,1847.34782609, ,0.0,0.000108695652174,0.0,29.54,30.19,12.7,1,13.0,2007,5,65.2857142857,0.00357142857143,0.0,6.31428571429,0.0025,0.0025,63.0,63.0
1,2007-05-13,69,43,56.0,-2.0,33,46.0,9, 0,434.0,1902.0, ,0.0,0.0,0.0,29.49,30.24,6.6,14,8.1,2007,5,64.5714285714,0.0185714285714,0.0,7.02857142857,0.0111538461538,0.0111538461538,61.1538461538,61.1538461538
2,2007-05-13,69,44,57.0,1.95448369565,32,46.0,8, 0,480.64673913,1847.34782609, ,0.0,0.000108695652174,0.0,29.55,30.24,6.4,11,7.6,2007,5,65.2857142857,0.00357142857143,0.0,6.31428571429,0.00230769230769,0.00230769230769,62.5,62.5
1,2007-05-14,90,56,73.0,15.0,47,59.0,0, 8,433.0,1903.0, ,0.0,0.0,0.0,29.23,29.97,16.9,21,17.3,2007,5,64.5714285714,0.0185714285714,0.0,7.02857142857,0.0103571428571,0.0103571428571,62.0,62.0
