Station,Date,Tmax,Tmin,Tavg,Depart,DewPoint,WetBulb,Heat,Cool,Sunrise,Sunset,CodeSum,Depth,Water1,SnowFall,PrecipTotal,StnPressure,SeaLevel,ResultSpeed,ResultDir,AvgSpeed,Year,Tavg_week,precip_week,heat_dw,cool_dw,3_week_avrgPrecipTotal,5_week_avrgPrecipTotal
1,2007-05-01,83,50,67.0,14,51,56,0, 2,0448,1849, ,0,M,0.0,0.0,29.10,29.82,1.7,27,9.2,2007,59.42857142857143,0.002142857142857143,0.0,12.171428571428564,0.0,0.0
2,2007-05-01,84,52,68.0,M,51,57,0, 3,-,-, ,M,M,M,0.0,29.18,29.82,2.7,25,9.6,2007,60.833333333333336,0.0007142857142857143,0.0,10.766666666666659,0.0,0.0
1,2007-05-02,59,42,51.0,-3,42,47,14, 0,0447,1850,BR,0,M,0.0,0.0,29.38,30.09,13.0,4,13.4,2007,59.42857142857143,0.002142857142857143,0.0,12.171428571428564,0.0,0.0
2,2007-05-02,60,43,52.0,M,42,47,13, 0,-,-,BR HZ,M,M,M,0.0,29.44,30.08,13.3,2,13.4,2007,60.833333333333336,0.0007142857142857143,0.0,10.766666666666659,0.0,0.0
1,2007-05-03,66,46,56.0, 2,40,48,9, 0,0446,1851, ,0,M,0.0,0.0,29.39,30.12,11.7,7,11.9,2007,59.42857142857143,0.002142857142857143,0.0,12.171428571428564,0.0,0.0
2,2007-05-03,67,48,58.0,M,40,50,7, 0,-,-,HZ,M,M,M,0.0,29.46,30.12,12.9,6,13.2,2007,60.833333333333336,0.0007142857142857143,0.0,10.766666666666659,0.0,0.0
1,2007-05-04,66,49,58.0, 4,41,50,7, 0,0444,1852,RA,0,M,0.0,0.005,29.31,30.05,10.4,8,10.8,2007,59.42857142857143,0.002142857142857143,0.0,12.171428571428564,0.00125,0.00125
2,2007-05-04,78,51,,M,42,50,M,M,-,-, ,M,M,M,0.0,29.36,30.04,10.1,7,10.4,2007,60.833333333333336,0.0007142857142857143,0.0,10.766666666666659,0.0,0.0
1,2007-05-05,66,53,60.0, 5,38,49,5, 0,0443,1853, ,0,M,0.0,0.005,29.40,30.10,11.7,7,12.0,2007,59.42857142857143,0.002142857142857143,0.0,12.171428571428564,0.002,0.002
2,2007-05-05,66,54,60.0,M,39,50,5, 0,-,-, ,M,M,M,0.005,29.46,30.09,11.2,7,11.5,2007,60.833333333333336,0.0007142857142857143,0.0,10.766666666666659,0.001,0.001
